,1,2,3,4,5,6,7,8,9
1,0,1,0,1,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,1,0,0,0,1,1
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,0,0,0,0
8,0,0,0,0,1,0,1,0,0
9,1,1,0,0,1,0,0,0,0
10,0,0,0,0,1,0,0,0,0
11,1,1,1,1,0,0,0,1,0
12,0,0,0,0,0,1,1,1,1
13,1,0,1,1,1,1,1,0,0
14,0,0,0,0,1,0,1,0,0
15,0,0,1,1,0,0,1,0,1
16,0,1,1,0,0,0,1,1,0
17,1,1,1,1,1,1,1,0,1
18,0,1,1,0,1,1,1,1,1
19,1,1,1,0,1,1,1,1,1
20,1,1,0,1,1,1,0,1,1
21,1,0,1,0,0,1,1,1,1
22,1,0,1,1,0,1,1,1,1
23,1,1,1,1,1,1,1,1,1
24,1,0,1,1,1,1,0,1,1
25,1,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,1,1
