,1,2,3,4,5,6,7,8,9
1,1,1,1,0,1,0,0,1,1
2,1,1,0,1,1,0,0,0,0
3,1,1,0,0,1,0,0,0,0
4,0,0,1,0,0,1,1,0,0
5,1,0,0,0,0,0,0,1,0
6,1,0,0,0,0,1,0,0,0
7,1,0,0,0,1,0,0,1,1
8,0,1,1,0,0,0,1,1,1
9,1,0,1,1,0,1,0,0,0
10,1,1,0,0,0,1,1,1,1
11,0,1,0,1,1,1,0,1,0
12,1,0,1,0,1,1,1,1,0
13,0,0,0,0,0,0,0,1,0
14,1,1,0,0,1,0,1,1,1
15,0,0,1,0,0,1,1,0,0
16,0,0,0,0,0,1,1,1,1
17,1,0,1,0,0,0,0,1,0
18,0,1,0,1,0,0,1,0,0
19,0,0,0,0,1,1,0,1,0
20,0,1,1,0,1,1,1,0,0
21,0,0,0,1,1,1,0,1,0
22,0,0,0,1,1,1,0,1,0
23,1,0,1,0,0,0,0,1,0
24,1,1,0,0,1,0,1,0,0
25,1,1,1,1,0,1,1,1,1
26,1,0,1,1,1,1,0,0,1
27,0,0,0,0,0,1,1,1,0
