,1,2,3,4,5,6,7,8,9
1,0,0,0,0,1,0,0,0,0
2,0,0,0,0,0,0,0,0,1
3,1,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1,1,0
5,0,0,1,0,1,0,0,1,0
6,0,1,0,1,1,0,1,1,1
7,0,0,0,0,0,0,0,0,0
8,0,0,0,1,1,0,1,0,0
9,0,0,0,1,1,0,1,0,1
10,1,0,0,1,0,0,1,0,1
11,0,0,1,0,1,0,0,1,1
12,1,0,1,1,1,0,1,0,0
13,1,1,0,1,1,0,1,0,0
14,0,1,0,1,1,1,1,0,1
15,1,1,1,1,1,1,0,0,1
16,0,1,1,1,0,1,0,1,1
17,0,1,0,1,0,0,1,1,0
18,1,1,1,0,1,0,1,1,1
19,1,0,1,0,1,0,1,1,1
20,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1,0
22,0,0,1,1,1,0,1,1,1
23,1,1,0,1,1,1,1,1,1
24,1,1,1,1,1,0,1,1,1
25,1,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,1,1
